Local Time,Measurement,Size (nm),Voltage (V),Sheath Flow,Flowmeter Flow,Corona HV (V)
2025 05 11 17 08 29 +0200, 94 195 11.251638 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 17 08 35 +0200, 100 206 11.886454 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 17 08 41 +0200, 98 202 11.655613 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 17 08 47 +0200, 96 197 11.367068 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 17 08 54 +0200, 105 219 12.636679 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 17 09 00 +0200, 85 177 10.212884 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 17 09 06 +0200, 94 195 11.251638 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 17 09 12 +0200, 93 193 11.136220 1 0,0.0,0.03434,13.85,13.85,4800.0
2025 05 11 17 09 18 +0200, 92 190 10.963099 1 0,0.0,0.03434,14.26,14.26,4800.0
2025 05 11 17 09 24 +0200, 95 196 11.309354 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 09 30 +0200, 102 209 12.059590 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 17 09 36 +0200, 87 179 10.328310 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 17 09 42 +0200, 94 196 11.309342 1 0,0.0,0.03434,14,14,4800.0
2025 05 11 17 09 48 +0200, 100 208 12.001863 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 17 09 55 +0200, 91 189 10.905383 1 0,0.0,0.03434,14.25,14.25,4800.0
2025 05 11 17 10 01 +0200, 99 204 11.771032 1 0,0.0,0.03434,13.8,13.8,4800.0
2025 05 11 17 10 07 +0200, 89 186 10.732251 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 17 10 13 +0200, 92 191 11.020802 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 17 10 19 +0200, 101 208 12.001875 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 17 10 25 +0200, 102 209 12.059590 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 17 10 31 +0200, 106 220 12.694395 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 10 37 +0200, 83 171 9.866649 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 10 43 +0200, 93 194 11.193924 1 0,0.0,0.03434,14.25,14.25,4800.0
2025 05 11 17 10 49 +0200, 98 201 11.597908 1 0,0.0,0.03434,14.26,14.26,4800.0
2025 05 11 17 10 56 +0200, 99 204 11.771032 1 0,0.0,0.03434,13.83,13.83,4800.0
2025 05 11 17 11 02 +0200, 93 192 11.078516 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 17 11 08 +0200, 98 204 11.771021 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 17 11 14 +0200, 97 199 11.482489 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 11 20 +0200, 96 200 11.540181 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 17 11 26 +0200, 85 175 10.097478 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 17 11 32 +0200, 100 208 12.001863 1 0,0.0,0.03434,14.21,14.21,4800.0
2025 05 11 17 11 38 +0200, 101 210 12.117284 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 17 11 44 +0200, 83 172 9.924350 1 0,0.0,0.03434,13.82,13.82,4800.0
2025 05 11 17 11 50 +0200, 93 190 10.963109 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 17 11 57 +0200, 91 187 10.789977 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 17 12 03 +0200, 97 199 11.482489 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 17 12 09 +0200, 105 216 12.463563 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 12 15 +0200, 91 187 10.789977 1 0,0.0,0.03434,13.69,13.69,4800.0
2025 05 11 17 12 21 +0200, 79 164 9.462693 1 0,0.0,0.03434,14.2,14.2,4800.0
2025 05 11 17 12 27 +0200, 90 187 10.789966 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 12 33 +0200, 93 192 11.078516 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 12 39 +0200, 121 252 14.541200 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 17 12 45 +0200, 134 283 16.330351 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 17 12 51 +0200, 111 236 13.617753 1 0,0.0,0.03434,14.1,14.1,4800.0
